KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	reservecode3	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Chiroptera.Vespertilionidae.Tylonycteris.UNK	Erinaceomorpha.Erinaceidae.Hylomys.suillus	Lagomorpha.Leporidae.Nesolagus.timminsi	Rodentia.Hystricidae.Hystrix.UNK	Rodentia.Muridae.Mus.musculus	Rodentia.Muridae.Niviventer.UNK	Rodentia.Sciuridae.Callosciurus.erythraeus	Rodentia.Sciuridae.Callosciurus.UNK1	Rodentia.Sciuridae.Callosciurus.UNK2	Rodentia.Sciuridae.Hylopetes.UNK1	Rodentia.Sciuridae.Hylopetes.UNK2	Rodentia.Sciuridae.Petaurista.philippensis	Rodentia.Sciuridae.Ratufa.bicolor	Rodentia.Sciuridae.Tamiops.UNK	Rodentia.Spalacidae.Rhizomys.pruinosus	Scandentia.Tupaiidae.Tupaia.belangeri	Soricomorpha.Talpidae.Euroscaptor.UNK
SWG1	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	59	NA	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG10	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29-30  09	NA	NA	13	NA	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	36	 0	 0	 0
SWG11	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	126	NA	   0	   0	   0	   0	   0	2349	   0	   0	   0	   0	   0	   0	   0	 883	   0	   0	   0
SWG12	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	96	NA	   0	   0	   0	   0	   0	  11	   0	   0	   0	   0	   0	   0	   0	 159	1623	 197	   0
SWG13	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	80	NA	  0	  0	  0	  0	  0	775	  0	  0	  0	  0	  0	  0	  0	 38	  0	  0	  0
SWG14	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	66	NA	   0	   0	  29	   0	   0	1602	   0	   0	   0	   0	   0	   0	   0	 107	   0	   0	   0
SWG15	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 9	NA	NA	30	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG16	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30  9	NA	NA	27	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG17	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1-3 10	NA	NA	90	NA	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	21	 0	 0	 0
SWG18	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	78	NA	    0	    0	    0	    0	    0	36473	   52	   29	    0	    0	    0	    0	    0	   23	    0	    0	    0
SWG19	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	9	NA	     0	     0	     0	     0	     0	163450	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
SWG2	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	46	NA	  0	  0	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	169	  0	  0	  0
SWG20	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG21	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	158	NA	  0	  0	  0	  0	  0	156	  0	  0	  0	  0	  0	  0	  0	 18	  0	 27	  0
SWG22	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	152	NA	   0	   0	   0	   0	   0	  59	  27	   0	   0	   0	   0	   0	   0	  47	3776	   0	   0
SWG23	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6 10	NA	NA	28	NA	    0	    0	    0	    0	    0	72462	    0	    0	    0	    0	    0	    0	    0	    4	    0	39228	    0
SWG24	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	4-6 10	NA	NA	83	NA	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	324	  0	  0	  0
SWG25	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	31	NA	  0	  0	  0	  0	  0	276	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
SWG26	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 -6 10	NA	NA	24	NA	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	6243	   0	   0	   0
SWG27	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	1	NA	  0	  0	  0	  0	  0	226	  0	  0	  0	  0	  0	  0	  0	  5	  0	  0	  0
SWG28	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6 10	NA	NA	22	NA	  0	  0	  0	  0	  0	213	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
SWG29	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	14	NA	   0	   0	   0	   0	   0	1438	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
SWG3	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 09-01 10	NA	NA	70	NA	   0	   0	   8	   4	   0	1184	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
SWG30	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	33	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG31	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8 10	NA	NA	37	NA	     0	     0	     0	     0	     0	240839	     0	     0	     0	     0	     0	     0	     0	  1894	     0	     0	     0
SWG34	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	71	NA	    0	    0	    0	    0	    0	61286	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
SWG35	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6-8 10	NA	NA	40	NA	 0	32	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
SWG36	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	26	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG38	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8-9 10	NA	NA	75	NA	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	2312	   0	   0	   0
SWG4	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 10	NA	NA	44	NA	   0	   0	   0	   0	   0	1555	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
SWG41	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	9 10	NA	NA	183	NA	   0	   0	   0	   0	   0	   0	 171	   0	   0	   0	   0	   0	   0	6607	   0	   0	   0
SWG43	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	10	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG44	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	75	NA	    0	    0	    0	24998	    0	    4	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
SWG45	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	9 10	NA	NA	114	NA	 0	 0	 0	 0	 0	22	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
SWG46	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	10 10	NA	NA	35	NA	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	1940	   0	   0	   0
SWG49	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8-10 10	NA	NA	32	NA	     0	     0	     0	     0	     0	110625	     0	     0	     0	     0	     0	     0	     0	  4390	     0	     0	     0
SWG5	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28 09	NA	NA	20	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG51	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11-12 10	NA	NA	133	NA	 0	 0	 0	 0	 0	12	 0	 0	 0	 0	 0	 0	 0	49	 0	 0	 0
SWG52	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	14 10	NA	NA	220	NA	    0	    0	    0	    0	    0	  722	    0	    0	    0	    0	    0	    0	    0	 8069	18417	  607	    0
SWG54	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	16-17 10	NA	NA	122	NA	    0	    0	    0	    0	    0	21154	    0	    0	    0	    0	    0	    0	    0	  121	    0	    0	    0
SWG55	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11 10	NA	NA	3	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG56	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	32	NA	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	9678	   0	   0	   0
SWG57	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	14 10	NA	NA	221	NA	    0	    0	    0	    0	    0	31295	    3	    0	    0	    0	    0	    0	    0	 2910	    0	    0	    0
SWG58	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	17 10	NA	NA	67	NA	   0	   0	   0	   0	   0	 467	   0	   0	   0	   0	   0	   0	   0	   0	   0	1306	   0
SWG59	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11 10	NA	NA	14	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG6	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28 09	NA	NA	17	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG60	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	15-17 10	NA	NA	30	NA	    0	    0	    3	    0	    0	25911	    0	    0	    0	    0	    0	    0	    0	   21	    0	  118	    0
SWG61	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	133	NA	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	    39	159579	     0	     0
SWG62	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	18 10	NA	NA	241	NA	    0	    0	    0	    0	    0	23091	  500	   64	    0	    0	    0	    5	    0	  752	 1182	   55	    0
SWG63	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 & 15 10	NA	NA	316	NA	     0	     0	     0	  5734	     0	223290	   452	     0	     0	     0	     0	  5673	     0	    34	 12305	   136	     0
SWG64	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	19 10	NA	NA	455	NA	    0	 1537	    0	    0	    0	72342	    0	    7	    0	    0	    0	    0	    0	  160	    0	    0	    0
SWG65	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	16-17 10	NA	NA	87	NA	    0	    0	    0	    0	    0	21940	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
SWG66	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 10	NA	NA	13	NA	     0	     0	     0	     0	     0	195082	     0	     0	     0	     0	     0	     0	     0	     0	     0	232815	     0
SWG67	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13-14 & 17 10	NA	NA	171	NA	  0	  0	  0	  0	  0	944	 57	  0	  0	  0	  0	  0	  0	185	  0	  0	  0
SWG68	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13-14 10	NA	NA	148	NA	   0	   0	   0	   0	   0	5560	   0	   0	   0	   0	   0	   0	   0	 431	 182	  56	   0
SWG69	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	10 10	NA	NA	15	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SWG7	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28-29 09	NA	NA	17	NA	  0	  0	  0	  0	  0	  0	  0	927	  0	  0	  0	  0	  0	464	  0	  0	  0
SWG75	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 & 15 10	NA	NA	187	NA	   0	   0	   0	 219	   0	4349	   0	  24	   0	   0	   0	   0	   0	  11	   0	  66	  17
SWG78	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	18 10	NA	NA	425	NA	    0	  944	    0	    0	    0	10208	    0	    0	    0	    0	    0	    0	    0	 8184	27945	    0	    0
SWG79	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	17 10	NA	NA	101	NA	    0	    0	    0	    0	    0	    3	    0	  410	    0	    0	    0	    0	    0	   12	12501	    0	    0
SWG8	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28-29 09	NA	NA	40	NA	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	177	  0	279	  0
SWG80	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13-14 10	NA	NA	44	NA	     0	     0	     0	     0	     0	265131	     0	     0	     0	     0	     0	     0	     0	  6091	     0	     0	     0
SWG9	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	10	NA	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	692	  0
WWF1	tube_labels	Vietnam	HSL	HSL	BMHQNXS	Hue SNR	NA	NA	VINH.BUIHUU_20120724	NA	NA	   0	   0	   0	   0	1558	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
WWF10	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK36_20120812	NA	NA	    0	    0	13831	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
WWF100	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	19/8/2012	353	27-Hoa	15	H-27	    0	    0	    0	    0	    0	56952	    0	    0	    0	    0	    0	    0	    0	    0	   83	    0	    0
WWF101	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41165	351	40-Hoa	45	H-40	    0	    0	   44	20662	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
WWF102	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	20/9/2012	347	42-Hoa	10	H-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF103	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	18/6/2012	353	5-Dành	40	H-48	  0	  0	  0	  0	  0	186	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
WWF105	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41098	404	14-Dành	10	H-57	     0	     0	     0	274173	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	 11138	  3446	     0
WWF106	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41133	348	23-Dành	3	H-66	  0	  0	410	  0	  0	  3	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
WWF107	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	22/8/2012	404	26-Dành	5	H-69	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
WWF108	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41155	350	30-Dành	5	H-73	     0	     0	     0	     0	     0	319553	  5238	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
WWF109	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	24/04/2012	405	35-Dành	30	H-78	    0	    0	77713	 6713	    0	  144	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
WWF11	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK20_20120819	NA	NA	 0	 0	92	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
WWF110	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41068	404	2-Thien	25	H-83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF111	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	16/6/2012	348	6-Thien	25	H-87	     0	     0	    86	     0	     0	  1452	     0	     0	     0	     0	     0	     0	     0	     0	145737	   957	     0
WWF112	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	15/07/2012	353	11-Thien	7	H-92	   0	   0	  68	   0	   0	4980	   0	   0	   0	   0	   0	   0	   0	   0	  14	   0	   0
WWF113	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	28/07/2012	405	12-Thien	15	H-93	     0	     0	203872	    46	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
WWF114	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41126	345	17-Thien	2	H-98	0	0	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0
WWF115	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	20/08/2012	404	19-Thien	10	H-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF116	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41162	349 and 351	Thien-24	8	H-105	     0	     0	     0	261401	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     7	     0	     0
WWF117	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41163	349	Thien-25	12	H-106	     0	     0	     0	268198	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     4	     0
WWF118	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41066	346	1 -Vinh	25	H-113	   0	   0	   0	9696	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	 532	   0	   0
WWF119	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41071	345	6 -Vinh	20	H-118	  0	  0	234	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
WWF12	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK35_20120824	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF120	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	23/6/2012	404	7 -Vinh	25	H-119	    0	    0	    5	 4254	    0	    0	11741	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
WWF121	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41092	347	11 -Vinh	20	H-123	    0	    0	    0	   69	    0	24072	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
WWF123	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	22/8/2012	353	24 -Vinh	22	H-136	    0	    0	   20	40993	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	72241	    0	    0
WWF124	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41168	348	35 -Vinh	40	H-147	     0	     0	     0	     0	     0	     6	     0	     0	     0	     0	     0	     0	     0	     0	     0	846246	     0
WWF126	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41284	347	Thien - 32	19	H - 153	    0	    0	    0	24673	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	   27	    0
WWF127	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41287	347	Thien - 35	45	H - 156	    0	    0	    0	  914	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	30104	    0	    0
WWF129	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	16/03/2013	352	Tuan - 1	14	H - 160	 0	 0	 0	11	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
WWF13	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK35_20120825	NA	NA	     0	     0	  1530	103011	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	   869	     0	     0
WWF130	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	24/03/2013	405	Tuan - 5	25	H - 164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF131	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	28/04/2013	346	Tuan - 9	45	H - 168	   0	   0	   0	2393	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0
WWF132	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	30/04/2013	346	Tuan - 11	65	H - 170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
WWF133	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41460	346	Tuan - 13	90	H - 172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF134	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41290	346	39 - Danh	20	H - 174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF135	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	16/04/2013	345	43 - Danh	30	H - 178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WWF136	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	27/03/2013	348	Vinh -41	15	H - 187	    0	    0	    0	31055	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	32498	 2775	    0
WWF138	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	18/4/2013	352	Huong -1	31	H - 194	   0	   0	   3	 287	   0	   0	   0	   0	   0	   0	   0	   0	   0	   0	2580	   0	   0
WWF139	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	20/05/2013	405	Huong -5	17	H - 198	    0	    0	51260	    0	    0	    6	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
WWF14	tube_labels	Vietnam	HSL	HSL	BMHQNXS	Hue SNR	NA	NA	VINH.BUIHUU_20120826	NA	NA	     0	     0	216961	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0	     0
WWF140	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	A21/12 I	184	H-202	    0	    0	    0	58968	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	73613	    0	    0
WWF141	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	A21/12 II	40	H-203	     0	     0	     0	 51280	     0	174874	     3	     0	     0	     0	     0	     0	     0	     0	  5135	     0	     0
WWF142	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	B21/12 I	20	H-205	    0	    0	   51	   33	    0	16435	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0	    0
WWF143	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	C21/12 I	30	H-207	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
