KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	reservecode3	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Primates.Cercopithecidae.Macaca.arctoides	Primates.Cercopithecidae.Macaca.assamensis	Primates.Cercopithecidae.Macaca.fascicularis	Primates.Cercopithecidae.Macaca.mulatta	Primates.Cercopithecidae.Macaca.UNK	Primates.Hominidae.Homo.sapiens	Primates.Hylobatidae.Nomascus.siki
SWG1	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	59	NA	0	0	0	0	0	7	0
SWG10	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29-30  09	NA	NA	13	NA	0	0	0	0	0	0	0
SWG11	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	126	NA	0	0	0	0	0	0	0
SWG12	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	96	NA	0	0	0	0	0	0	0
SWG13	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	80	NA	90	 0	 0	 0	 3	 4	 0
SWG14	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1 10	NA	NA	66	NA	  0	  0	  0	  0	  0	381	  0
SWG15	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 9	NA	NA	30	NA	  0	  0	  0	  0	  0	258	  0
SWG16	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30  9	NA	NA	27	NA	0	0	0	0	0	0	0
SWG17	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	1-3 10	NA	NA	90	NA	  0	  0	  0	  0	  0	601	  0
SWG18	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	78	NA	 0	 0	 0	 0	 0	24	 0
SWG19	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	9	NA	 0	 0	 0	 0	 0	26	 0
SWG2	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	46	NA	 179	   0	   0	   0	  11	1767	1031
SWG20	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	NA	NA	0	0	0	0	0	0	0
SWG21	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	158	NA	0	0	0	0	0	3	0
SWG22	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	152	NA	 5	 0	 0	 0	 0	12	 0
SWG23	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6 10	NA	NA	28	NA	0	0	0	0	0	0	0
SWG24	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	4-6 10	NA	NA	83	NA	 0	 0	 0	 0	 0	14	 0
SWG25	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	31	NA	0	0	0	0	0	0	0
SWG26	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 -6 10	NA	NA	24	NA	   0	   0	   0	   0	   0	1058	   0
SWG27	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	3 10	NA	NA	1	NA	0	0	0	0	0	0	0
SWG28	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6 10	NA	NA	22	NA	0	0	0	0	0	0	0
SWG29	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	2 10	NA	NA	14	NA	   0	   0	   0	   0	   0	1455	   0
SWG3	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 09-01 10	NA	NA	70	NA	   0	2845	   0	  10	2899	1454	   0
SWG30	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	33	NA	    0	    0	    0	    0	    0	23723	    0
SWG31	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8 10	NA	NA	37	NA	 0	 0	 0	 0	 0	82	 0
SWG34	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	71	NA	   0	1138	   0	   0	  26	 806	   0
SWG35	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	6-8 10	NA	NA	40	NA	  0	  0	  0	  0	  0	162	  0
SWG36	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	7 10	NA	NA	26	NA	    0	    0	    0	    0	    0	40653	    0
SWG38	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8-9 10	NA	NA	75	NA	    0	    0	    0	    0	    0	12133	    0
SWG4	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	30 10	NA	NA	44	NA	   0	   0	   0	   0	   0	1245	   0
SWG41	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	9 10	NA	NA	183	NA	  0	  0	  0	  0	  0	572	  0
SWG43	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	10	NA	 0	 0	 0	 0	 0	24	 0
SWG44	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	75	NA	69	 0	 0	 0	 0	 0	 0
SWG45	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	9 10	NA	NA	114	NA	  0	  0	  0	  0	  0	369	  0
SWG46	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	10 10	NA	NA	35	NA	0	0	0	0	0	6	0
SWG49	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	8-10 10	NA	NA	32	NA	0	0	0	0	0	0	0
SWG5	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28 09	NA	NA	20	NA	 0	 0	 0	 0	 0	10	 0
SWG51	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11-12 10	NA	NA	133	NA	  0	  0	  0	  0	  0	805	  0
SWG52	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	14 10	NA	NA	220	NA	   0	1902	   0	   7	   0	   0	   0
SWG54	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	16-17 10	NA	NA	122	NA	0	0	0	0	0	0	0
SWG55	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11 10	NA	NA	3	NA	0	0	0	0	0	0	0
SWG56	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	32	NA	    0	    0	    0	    0	    0	12657	    0
SWG57	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	14 10	NA	NA	221	NA	129	356	  0	  4	  0	  0	  0
SWG58	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	17 10	NA	NA	67	NA	  0	  0	  0	  0	  0	501	  0
SWG59	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	11 10	NA	NA	14	NA	 0	 0	 0	 0	 0	18	 0
SWG6	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28 09	NA	NA	17	NA	  0	  0	  0	  0	  0	249	  0
SWG60	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	15-17 10	NA	NA	30	NA	 0	 0	 0	 0	 0	47	 0
SWG61	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	12 10	NA	NA	133	NA	  0	  0	  0	  0	  0	391	  0
SWG62	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	18 10	NA	NA	241	NA	3	0	0	0	0	0	0
SWG63	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 & 15 10	NA	NA	316	NA	318	184	  0	  0	  0	 47	  0
SWG64	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	19 10	NA	NA	455	NA	 0	 0	 0	 0	 0	39	 0
SWG65	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	16-17 10	NA	NA	87	NA	4610	  81	   0	   0	 263	 171	   0
SWG66	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 10	NA	NA	13	NA	  0	  0	  0	  0	  0	989	  0
SWG67	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13-14 & 17 10	NA	NA	171	NA	23	 7	 0	 0	 0	56	 0
SWG68	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13-14 10	NA	NA	148	NA	0	0	0	0	0	0	0
SWG69	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	10 10	NA	NA	15	NA	   0	   0	   0	   0	   0	3418	   0
SWG7	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28-29 09	NA	NA	17	NA	125	  0	  0	  0	  5	617	  0
SWG75	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13 & 15 10	NA	NA	187	NA	65	 0	 0	 0	 0	 0	 0
SWG78	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	18 10	NA	NA	425	NA	0	0	0	0	0	0	0
SWG79	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	17 10	NA	NA	101	NA	   0	   0	   0	   0	   0	4243	   0
SWG8	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	28-29 09	NA	NA	40	NA	  0	  0	  0	  0	  0	136	  0
SWG80	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	13-14 10	NA	NA	44	NA	   0	   0	   0	   0	   0	8213	   0
SWG9	WCS_Sample_Status_2015Oct19.xlsx_All	Laos	PST	PST	PST	Phou Si Thone	29 09	NA	NA	10	NA	12278	12088	    0	    3	34699	15912	    0
WWF1	tube_labels	Vietnam	HSL	HSL	BMHQNXS	Hue SNR	NA	NA	VINH.BUIHUU_20120724	NA	NA	  0	  0	  0	  0	  0	858	  0
WWF10	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK36_20120812	NA	NA	    0	    0	    0	    0	    0	11722	    0
WWF100	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	19/8/2012	353	27-Hoa	15	H-27	1219	   0	   0	   0	 140	 114	   0
WWF101	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41165	351	40-Hoa	45	H-40	    0	    0	    0	    0	    0	18087	    0
WWF102	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	20/9/2012	347	42-Hoa	10	H-42	0	0	0	0	0	0	0
WWF103	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	18/6/2012	353	5-Dành	40	H-48	 0	 0	 0	 0	 0	98	 0
WWF105	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41098	404	14-Dành	10	H-57	15	 0	 0	 0	 0	 0	 0
WWF106	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41133	348	23-Dành	3	H-66	  0	  0	  0	  0	  0	107	  0
WWF107	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	22/8/2012	404	26-Dành	5	H-69	0	0	0	0	0	0	0
WWF108	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41155	350	30-Dành	5	H-73	 75	642	  0	  0	982	  0	  0
WWF109	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	24/04/2012	405	35-Dành	30	H-78	177	  0	  0	  0	  0	  0	  0
WWF11	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK20_20120819	NA	NA	    0	    0	    0	    0	    0	37037	    0
WWF110	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41068	404	2-Thien	25	H-83	0	0	0	0	0	0	0
WWF111	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	16/6/2012	348	6-Thien	25	H-87	 0	 0	 0	 0	63	26	 0
WWF112	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	15/07/2012	353	11-Thien	7	H-92	0	0	0	0	0	0	0
WWF113	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	28/07/2012	405	12-Thien	15	H-93	0	0	0	0	0	0	0
WWF114	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41126	345	17-Thien	2	H-98	  0	  0	  0	  0	  0	122	  0
WWF115	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	20/08/2012	404	19-Thien	10	H-100	  0	  0	  0	  0	  0	103	  0
WWF116	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41162	349 and 351	Thien-24	8	H-105	0	0	0	0	0	0	0
WWF117	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41163	349	Thien-25	12	H-106	0	0	0	0	0	0	0
WWF118	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41066	346	1 -Vinh	25	H-113	0	0	0	0	0	0	0
WWF119	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41071	345	6 -Vinh	20	H-118	 0	 0	 0	 0	 0	33	 0
WWF12	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK35_20120824	NA	NA	3	0	0	0	0	8	0
WWF120	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	23/6/2012	404	7 -Vinh	25	H-119	0	0	0	0	0	0	0
WWF121	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41092	347	11 -Vinh	20	H-123	0	0	0	0	0	0	0
WWF123	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	22/8/2012	353	24 -Vinh	22	H-136	   0	   0	   0	   0	   0	1075	   0
WWF124	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41168	348	35 -Vinh	40	H-147	 1689	    0	    0	    0	    0	10389	    0
WWF126	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41284	347	Thien - 32	19	H - 153	14900	    0	    0	    0	    0	  691	    0
WWF127	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41287	347	Thien - 35	45	H - 156	  0	  0	  0	  0	  0	806	  0
WWF129	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	16/03/2013	352	Tuan - 1	14	H - 160	   0	  67	   0	   0	3184	 454	   0
WWF13	tube_labels	Vietnam	QNSL	QNSL	BMHQNXS	Quang Nam SNR	NA	NA	TK35_20120825	NA	NA	305150	     0	     0	     0	    41	 15979	     0
WWF130	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	24/03/2013	405	Tuan - 5	25	H - 164	1923	 887	   0	   0	1655	   7	   0
WWF131	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	28/04/2013	346	Tuan - 9	45	H - 168	2613	   0	   0	   0	   0	   0	   0
WWF132	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	30/04/2013	346	Tuan - 11	65	H - 170	 846	   6	   0	   0	 549	2735	   0
WWF133	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41460	346	Tuan - 13	90	H - 172	 0	 0	 0	 0	 0	62	 0
WWF134	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41290	346	39 - Danh	20	H - 174	0	0	0	0	0	6	0
WWF135	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	16/04/2013	345	43 - Danh	30	H - 178	293	  0	  0	  0	  0	  0	  0
WWF136	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	27/03/2013	348	Vinh -41	15	H - 187	  0	  0	  0	  0	106	527	  0
WWF138	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	18/4/2013	352	Huong -1	31	H - 194	  0	  0	  0	  0	  0	231	  0
WWF139	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	20/05/2013	405	Huong -5	17	H - 198	2157	   5	   0	   0	3149	   0	   0
WWF14	tube_labels	Vietnam	HSL	HSL	BMHQNXS	Hue SNR	NA	NA	VINH.BUIHUU_20120826	NA	NA	 0	 0	 0	 0	 0	28	 0
WWF140	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	A21/12 I	184	H-202	    0	    0	    0	11249	 3270	    0	    0
WWF141	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	A21/12 II	40	H-203	2099	1497	   0	   0	2446	   3	   0
WWF142	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	B21/12 I	20	H-205	  0	  0	  0	  0	  0	685	  0
WWF143	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	C21/12 I	30	H-207	0	0	0	0	0	0	0
WWF145	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41264	352	D21/12 I	70	H-209	   0	   0	   0	   0	   0	3075	   0
WWF147	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41265	352	A22/12 I	121	H-212	2376	 168	   0	   0	   0	 299	   0
WWF148	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41265	352	A22/12 II	156	H-213	0	0	0	0	0	0	0
WWF149	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41265	352	B22/12 I	45	H-215	   0	   0	   0	   0	   0	2802	   0
WWF15	tube_labels	Vietnam	HSL	HSL	BMHQNXS	Hue SNR	NA	NA	VINH.BUIHUU_20120907	NA	NA	0	0	0	0	0	7	0
WWF150	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41265	352	C22/12 I	72	H-217	 0	 0	 0	34	 0	 0	 0
WWF151	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41265	352	D22/12 I	25	H-220	   0	  47	   0	2289	 391	   9	   0
WWF152	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41266	352	A23/12 I	82	H-223	  0	  0	  0	  0	  0	915	  0
WWF153	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41266	352	B23/12 I	66	H-225	    3	    0	    0	    0	    0	19155	    0
WWF154	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41266	352	C23/12 I	25	H-226	1002	   0	   0	   0	6462	6138	   0
WWF155	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41267	352	A24/12 I	151	H-227	12394	    0	    0	    0	    0	    0	    0
WWF156	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41267	352	A24/12 II	88	H-228	0	0	0	0	0	0	0
WWF157	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41267	352	A24/12 III	56	H-230	    0	  482	    0	11429	 3572	    0	    0
WWF158	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41267	352	B24/12 I	126	H-231	20829	 1259	    0	    0	 5777	12886	    0
WWF159	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41267	352	D24/12 I	40	H-233	0	0	0	0	0	7	0
WWF16	tube_labels	Vietnam	HSL	HSL	BMHQNXS	Hue SNR	NA	NA	VINH.BUIHUU_20120908	NA	NA	0	0	0	0	0	0	0
WWF160	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41268	352	A25/12 I	79	H-235	0	0	0	0	0	0	0
WWF161	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41268	352	B25/12 I	56	H-236	 0	 0	 0	 0	 0	17	 0
WWF162	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41270	346 and 349	A27/12 I	183	H-237	991	  3	  0	  0	275	 12	  0
WWF163	WWF_2013Samples_20140919.xlsx	Vietnam	HSL	HSL	BMHQNXS	HueSaoLaNR	41270	346 and 349	C27/12 II	127	H-238	0	0	0	0	0	0	0
